Alimento,calorias,carboidrato,proteina,gordura
GOIABA,42.5,9.50,0.90,0.10
GOIABADA,274.6,68.34,0,0
GRÃO-DE-BICO COZIDO,115,17.70,6.10,2.20
GRAPE-FRUIT,46.9,11.60,0.08,0.02
IOGURTE NATURAL,76,15.50,3.50,0.10
JABUTICABA,44.9,11.20,0.54,0
KETCHUP,39.2,6.80,1.20,0.80
LARANJA,45.5,9.80,0.60,0.40
LEITE DE CABRA,92,5.20,4.30,6.00
LEITE DE VACA,63,5.00,3.10,3.50
LEITE DE VACA DESNATADO,36.1,5.00,3.60,0.10
LENTILHA CRUA,348.6,59.20,25.70,1.00
LIMÃO,28,8.10,0.60,0.60
LÍNGUA DE BOI CRUA,158.4,0,18.10,9.20
MACARRÃO CRU,353.4,69.00,14.00,2.40
MAÇÃ,63.2,14.20,0.40,0.50
MAIONESE,663.2,0.60,2.00,72.70
MAISENA,345.3,80.30,3.10,1.30
MAMÃO,58,12.50,0.50,0.45
MANDIOCA COZIDA,119,28.90,0.60,0.20
MANGA,64.3,15.00,0.40,0.30
MANTEIGA,754,0,1.39,83.28
MARACUJÁ,90,21.20,2.20,0.70
MARGARINA,766,0.80,0.90,84.45
MEL DE ABELHAS,312.5,78.14,0,0
MELANCIA,31,6.90,0.50,0.20
MELÃO,29.9,6.35,0.84,0.13
MILHO CRU,325.6,63.50,6.20,5.20
MISSO,199,25.10,12.50,6.40
MIÚDOS DE GALINHA,160,0,23.40,7.40
MOCOTÓ - GELÉIA,84,17.00,4.00,0
MOLHO SHOYO,45,7.20,3.10,0.12
MOLHO INGLÊS,91,8.00,1.50,6.90
MORANGA,18.8,2.70,1.87,0.06
MORANGO,39,7.40,1.00,0.60
MORTADELA,277,2.80,18.40,20.80
MOSTARDA (CONDIMENTO),78.5,5.00,4.50,4.50
MOSTARDA FOLHA,28.7,4.43,2.06,0.31
NABO CRU,35,7.10,1.10,0.20
NATA,206,3.50,3.00,20.00
NECTARINA,64,17.10,0.60,0
NOZES,705.2,13.00,18.40,64.40
ÓLEO DE MILHO,900,0,0,100
ÓLEO DE OLIVA,900,0,0,100
ÓLEO DE SOJA,900,0,0,100
OVO DE GALINHA INTEIRO CRU,150.9,0,12.30,11.30
PALMITO CRU,26,5.20,2.20,0.20
PÃO DE CENTEIO INTEGRAL,232,45.50,10.40,0.90
PÃO DE LEITE,305,62.40,9.80,1.90
PÃO FRANCÊS,269,57.40,9.30,0.20
PÃO DE MILHO,281,53.30,7.50,4.20
PATÉ DE FÍGADO,395.9,0,15.86,36.94
PATÉ DE GALINHA,312.8,0,15.66,27.80
PEIXE DE MAR CRU (MÉDIA),82.9,0,16.00,2.10
PEIXE DE ÁGUA DOCE CRU (MÉDIA),75,0,16.60,0.50
PEPINO COM CASCA,14.7,2.70,0.70,0.10
PERA CRUA,63.3,14.10,0.60,0.50
PERDIZ (CARNE CRUA),113.9,0,25.26,1.43
PÊSSEGO,51.5,11.72,0.85,0.14
PIMENTA MALAGUETA,38,6.50,1.30,0.70
PIMENTA-DO-REINO,24,5.00,1.00,0.03
PIMENTÃO,29,5.70,1.30,0.20
PINHÃO CRU,217.5,46.40,3.96,1.79
PINHÃO COZIDO,195.5,41.92,3.94,1.34
PIPOCA EM GRÃO,353.2,76.50,10.80,0.45
PITANGA,46.7,6.40,1.02,1.90
PRESUNTO CRU FRESCO,363.4,0,15.70,33.40
PRESUNTO MAGRO DEFUMADO,168,0,24.00,8.00
QUEIJO CHEDDAR NACIONAL,423.3,0,29.34,34.00
QUEIJO-DE-MINAS FRESCAL,243,0,18.00,19.00
QUEIJO GORGONZOLA,397.3,0,23.95,33.51
QUEIJO PARMESÃO,396.2,0,32.75,29.47
QUEIJO PRATO,352.9,0,29.32,26.18
QUEIJO PROVOLONE,295.5,0,27.96,20.41
QUEIJO ROQUEFORT,385.1,0,19.39,34.18
QUEIJO SUIÇO,404,1.90,28.60,31.30
RABANETE,15.9,2.80,0.60,0.13
REPOLHO CRU,25,4.30,1.40,0.20
